,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
0,6,524.0,140.69,41.57,12.78,5.11,-1.88,0
1,18,524.0,90.02,45.86,16.18,4.84,-2.46,0
2,6,1227.0,,,,,-1.7,0
3,18,1227.0,90.43,45.13,15.66,4.7,-2.38,0
4,30,1227.0,92.65,31.36,13.59,3.5,-4.48,0
5,6,2195.0,117.82,30.89,11.69,4.43,-1.9,0
6,6,2461.0,134.32,24.27,8.23,4.28,-2.0,1
7,18,2461.0,103.11,36.0,11.67,4.93,-2.33,1
8,30,2461.0,153.23,35.83,9.61,5.51,-5.28,1
9,36,2461.0,147.98,40.66,10.92,5.75,-2.31,1
10,6,3215.0,129.3,27.26,9.19,4.64,,1
11,18,3215.0,,,,,-2.47,1
12,36,3215.0,128.68,37.38,13.48,4.4,-2.86,1
13,6,3850.0,128.22,27.32,8.75,3.58,-1.79,0
14,18,3850.0,114.49,33.95,13.43,4.22,-2.1,0
15,6,554.0,132.29,32.69,10.86,4.51,-1.98,1
16,30,554.0,111.73,33.41,13.82,3.72,-2.36,1
17,36,554.0,112.71,30.49,14.07,3.39,-2.18,1
18,6,1201.0,135.97,30.69,7.21,2.98,-1.8,0
19,18,1201.0,110.28,33.88,15.6,3.68,-2.44,0
20,6,1936.0,121.9,32.03,11.01,4.71,-2.0,0
21,18,1936.0,107.41,32.81,13.69,4.01,-2.66,0
22,6,2516.0,110.74,28.78,11.19,4.29,-2.11,0
23,18,2516.0,83.95,32.26,14.68,3.62,-2.42,0
24,6,3090.0,126.38,30.53,10.77,4.64,,0
25,18,3090.0,94.19,30.75,14.69,3.51,-1.98,0
26,6,3744.0,,28.07,6.36,3.03,-1.72,0
27,18,3744.0,111.32,35.16,13.52,4.29,-2.49,0
28,6,491.0,,34.96,11.8,4.46,-2.56,1
29,18,491.0,87.65,24.54,12.84,2.98,-2.76,1
30,36,491.0,156.16,26.16,11.1,3.72,-2.59,1
31,6,1249.0,,,,,-2.12,1
32,18,1249.0,87.12,25.22,12.86,3.03,-2.8,1
33,30,1249.0,90.88,25.53,12.35,3.08,-3.1,1
34,36,1249.0,123.77,27.85,11.43,3.73,-1.78,1
35,6,1779.0,103.21,29.24,7.16,2.82,-2.36,1
36,18,1779.0,98.16,23.66,12.42,3.09,-2.73,1
37,36,1779.0,124.91,26.92,10.42,4.04,-2.44,1
38,6,2424.0,105.59,24.12,5.87,2.67,-2.36,1
39,18,2424.0,92.73,30.31,13.21,3.68,-2.53,1
40,30,2424.0,117.62,29.51,11.46,4.04,-1.72,1
41,36,2424.0,132.57,27.77,12.76,4.03,-2.68,1
42,6,3103.0,136.55,24.56,9.2,4.11,,1
43,18,3103.0,106.9,23.68,11.0,3.49,-2.38,1
44,36,3103.0,119.49,28.26,11.46,3.67,-2.56,1
45,6,3801.0,128.61,33.23,7.51,3.01,-2.78,1
46,18,3801.0,,,13.26,3.29,-3.29,1
47,30,3801.0,95.33,28.14,13.38,3.22,-3.7,1
48,36,3801.0,102.31,34.27,14.03,4.0,-2.47,1
49,6,660.0,174.19,31.71,9.04,4.54,-1.95,0
50,18,660.0,87.52,34.55,13.39,4.12,-2.2,0
51,6,1138.0,,,,,-2.58,1
52,18,1138.0,101.74,43.41,13.22,4.95,-2.38,1
53,30,1138.0,90.22,38.66,14.75,3.94,-3.07,1
54,6,1913.0,105.48,41.65,7.4,3.71,-2.25,1
55,18,1913.0,78.14,40.42,14.33,4.55,-2.22,1
56,30,1913.0,79.54,31.27,14.62,3.75,-3.05,1
57,36,1913.0,77.49,43.66,14.47,4.52,-1.91,1
58,6,2471.0,120.08,28.64,6.25,3.04,-2.33,0
59,18,2471.0,75.65,47.51,14.68,5.28,-2.25,0
60,6,3153.0,109.12,42.5,7.55,3.63,,0
61,18,3153.0,83.37,50.23,16.06,5.09,-2.61,0
62,6,3763.0,112.78,36.22,7.14,3.39,-2.34,1
63,18,3763.0,88.89,40.53,12.53,5.04,-2.51,1
64,30,3763.0,86.38,42.8,11.65,5.47,-3.08,1
65,36,3763.0,65.48,43.16,15.38,4.17,-2.47,1
66,6,544.0,112.79,27.23,9.31,4.16,-2.55,0
67,18,544.0,85.6,28.33,12.97,3.68,-2.64,0
68,6,1256.0,,,,,-1.4,1
69,18,1256.0,87.14,36.19,14.44,4.19,-2.36,1
70,30,1256.0,81.46,40.85,15.77,4.12,-2.29,1
71,36,1256.0,95.91,49.63,,,-1.52,1
72,6,1804.0,118.69,27.63,6.7,2.87,-1.68,1
73,18,1804.0,85.47,37.18,14.56,4.59,-2.38,1
74,36,1804.0,75.48,34.47,13.01,4.35,-2.72,1
75,6,2432.0,126.82,32.02,6.77,3.25,-1.91,1
76,18,2432.0,91.78,30.1,11.95,3.96,-2.45,1
77,30,2432.0,97.99,31.75,12.52,3.85,-3.09,1
78,36,2432.0,76.55,30.26,10.56,4.44,-2.78,1
79,6,3276.0,131.76,29.25,6.38,3.06,-2.36,0
80,18,3276.0,88.33,35.19,14.31,4.25,-3.2,0
81,6,3937.0,126.6,19.57,8.38,3.77,-2.45,1
82,18,3937.0,95.47,37.9,14.69,4.44,-2.54,1
83,36,3937.0,120.67,41.54,15.52,4.3,-1.61,1
84,6,531.0,135.44,28.15,9.97,3.98,-1.9,1
85,18,531.0,103.43,25.28,11.67,3.47,-2.48,1
86,36,531.0,112.08,21.86,11.62,2.85,-0.85,1
87,6,1195.0,131.8,27.73,6.72,2.64,-2.66,0
88,18,1195.0,106.26,26.62,12.91,3.34,-2.71,0
89,6,1972.0,,18.64,5.85,2.03,-1.66,0
90,18,1972.0,111.18,26.47,14.97,3.42,-2.25,0
91,6,2484.0,141.39,24.07,6.11,2.46,-2.3,1
92,18,2484.0,110.4,30.56,12.41,3.58,-2.57,1
